trial,code_distance,qubit_layout,n_trotter_steps,placement,n_aods,consider_skip_rus,trivial_return,decompose_move,parallel_execution,prepare_lookahead_angles,logical_se_interval,total_depth,fidelity,fidelity_of_rz_layer,fidelity_of_rz_injection,fidelity_of_rz_teleportaion,fidelity_of_rz_s,fidelity_cnot,fidelity_1q,fidelity_idle,n_cnot,n_cnot_teleportation,n_h,n_s,n_se_q
0,7,"(4, 4)",1,seperate_region_row,1,0,True,False,False,True,10,682.5,0.9988883974912657,0.9994581266652771,0.9999379824420297,0.9995201144619182,1,0.9996160731427869,0.9999872000793593,0.9998266150155691,128,160,32,0,867
1,7,"(4, 4)",1,seperate_region_row,1,0,True,False,False,True,10,693.5,0.9988750731084842,0.9994519907119054,0.9999588421074411,0.9994931277426703,1,0.9996160731427869,0.9999872000793593,0.9998194162891364,128,169,32,0,903
2,7,"(4, 4)",1,seperate_region_row,1,0,True,False,False,True,10,642.5,0.9989396094101683,0.9995035706554719,0.9999354501250599,0.9995680926508467,1,0.9996160731427869,0.9999872000793593,0.9998324140273334,128,144,32,0,838
3,7,"(4, 4)",1,seperate_region_row,1,0,True,False,False,True,10,743.0,0.9987171303526062,0.9993085465331856,0.999884314925015,0.9994241649926546,1,0.9996160731427869,0.9999872000793593,0.9998048190307587,128,192,32,0,976
4,7,"(4, 4)",1,seperate_region_row,1,0,True,False,False,True,10,539.0,0.9990299016427869,0.9995625271042041,0.9999824321693334,0.99958008755792,1,0.9996160731427869,0.9999872000793593,0.9998638092611769,128,140,32,0,681
0,7,"(4, 4)",1,seperate_region_row,1,0,False,True,False,True,10,544.5,0.9986694339552409,0.9992024667573156,0.999661206650415,0.9995411046362032,1,0.9996160731427869,0.9999872000793593,0.9998632093430113,128,153,32,0,684
1,7,"(4, 4)",1,seperate_region_row,1,0,False,True,False,True,10,622.0,0.9988984470610072,0.9994519907119054,0.9999588421074411,0.9994931277426703,1,0.9996160731427869,0.9999872000793593,0.9998428123395505,128,169,32,0,786
2,7,"(4, 4)",1,seperate_region_row,1,0,False,True,False,True,10,541.5,0.998990043279219,0.9995250463479147,0.9999419358329895,0.999583086307179,1,0.9996160731427869,0.9999872000793593,0.9998614095906742,128,139,32,0,693
3,7,"(4, 4)",1,seperate_region_row,1,0,False,True,False,True,10,616.0,0.9987577339736664,0.9993119990971925,0.9998247784385499,0.9994871307928993,1,0.9996160731427869,0.9999872000793593,0.9998420124655406,128,171,32,0,790
4,7,"(4, 4)",1,seperate_region_row,1,0,False,True,False,True,10,473.5,0.9990594618940096,0.9995725113000774,0.9999864206139326,0.9995860850654341,1,0.9996160731427869,0.9999872000793593,0.9998834067858539,128,138,32,0,583
0,7,"(4, 4)",1,seperate_region_row,1,2,False,True,False,True,10,544.5,0.9986694339552409,0.9992024667573156,0.999661206650415,0.9995411046362032,1,0.9996160731427869,0.9999872000793593,0.9998632093430113,128,153,32,0,684
1,7,"(4, 4)",1,seperate_region_row,1,2,False,True,False,True,10,622.0,0.9988984470610072,0.9994519907119054,0.9999588421074411,0.9994931277426703,1,0.9996160731427869,0.9999872000793593,0.9998428123395505,128,169,32,0,786
2,7,"(4, 4)",1,seperate_region_row,1,2,False,True,False,True,10,636.5,0.9988455855470618,0.999405296198784,0.9998911259485442,0.9995141173502272,1,0.9996160731427869,0.9999872000793593,0.9998366133327109,128,162,32,0,817
3,7,"(4, 4)",1,seperate_region_row,1,2,False,True,False,True,10,616.0,0.9987577339736664,0.9993119990971925,0.9998247784385499,0.9994871307928993,1,0.9996160731427869,0.9999872000793593,0.9998420124655406,128,171,32,0,790
4,7,"(4, 4)",1,seperate_region_row,1,2,False,True,False,True,10,473.5,0.9990594618940096,0.9995725113000774,0.9999864206139326,0.9995860850654341,1,0.9996160731427869,0.9999872000793593,0.9998834067858539,128,138,32,0,583
0,7,"(4, 4)",1,seperate_region_row,5,0,True,False,False,False,10,442.5,0.9989324753724447,0.9994348655000365,0.9999327087625001,0.9995021232347927,1,0.9996160731427869,0.9999872000793593,0.9998940056071995,128,166,32,0,530
1,7,"(4, 4)",1,seperate_region_row,5,0,True,False,False,False,10,547.0,0.9985342872158547,0.9990704449049339,0.9995935560054867,0.9994781354357083,0.99999854,0.9996160731427869,0.9999872000793593,0.9998600097855406,128,174,32,1,700
2,7,"(4, 4)",1,seperate_region_row,5,0,True,False,False,False,10,451.0,0.9989953419463227,0.9995009620894939,0.9999598390236049,0.9995411046362032,1,0.9996160731427869,0.9999872000793593,0.9998908059511811,128,153,32,0,546
3,7,"(4, 4)",1,seperate_region_row,5,0,True,False,False,False,10,509.0,0.99879209782199,0.9993146033030464,0.9998123866599309,0.9995021232347927,1,0.9996160731427869,0.9999872000793593,0.999873807950263,128,166,32,0,631
