trial,code_distance,fidelity_target,factory_physical_size,qubit_layout,placement,n_qubits,n_factories,n_aods,trivial_return,decompose_move,redistribute_stage1_success,J,h,dt,n_trotter_steps,epsilon,total_depth,n_cnot,n_cnot_teleportation,n_h,n_s,n_t,n_se_q,n_rz_decomposition,fidelity_total,fidelity_of_rz_teleportaion,fidelity_of_rz_s,fidelity_of_rz_h,fidelity_of_t_gate,fidelity_cnot,fidelity_h,fidelity_idle,fidelity_synthesis,synthesis_epsilon
3,9,1e-08,2,"(8, 8)",col_based,64,64,1,True,False,False,1.0,1.0,0.00146,1,0.0001,20362.0,256,10112,10496,5189,10112,102620,256,0.9941960426705844,0.9972682466363068,0.9993170872811772,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.9981509988692948,0.9999974400032511,0.0001
4,9,1e-08,2,"(8, 8)",col_based,64,64,1,True,False,False,1.0,1.0,0.00146,1,0.0001,20234.0,256,10112,10496,5176,10112,101561,256,0.9942167322520775,0.9972682466363068,0.9993187975993205,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.9981700623998406,0.9999974400032511,0.0001
5,9,1e-08,2,"(8, 8)",col_based,64,64,1,True,False,False,1.0,1.0,0.00146,1,0.0001,20308.0,256,10112,10496,5288,10112,102251,256,0.9941897008677645,0.9972682466363068,0.9993040626467267,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.9981576413612717,0.9999974400032511,0.0001
6,9,1e-08,2,"(8, 8)",col_based,64,64,1,True,False,False,1.0,1.0,0.00146,1,0.0001,20262.0,256,10112,10496,5189,10112,102400,256,0.9941999872668033,0.9972682466363068,0.9993170872811772,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.9981549591572934,0.9999974400032511,0.0001
7,9,1e-08,2,"(8, 8)",col_based,64,64,1,True,False,False,1.0,1.0,0.00146,1,0.0001,20623.0,256,10112,10496,5148,10112,103274,256,0.994189682938931,0.9972682466363068,0.9993224813714172,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.9981392261059365,0.9999974400032511,0.0001
8,9,1e-08,2,"(8, 8)",col_based,64,64,1,True,False,False,1.0,1.0,0.00146,1,0.0001,20354.0,256,10112,10496,5198,10112,101791,256,0.9942097286934508,0.9972682466363068,0.9993159032164851,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.9981659220364769,0.9999974400032511,0.0001
9,9,1e-08,2,"(8, 8)",col_based,64,64,1,True,False,False,1.0,1.0,0.00146,1,0.0001,19947.0,256,10112,10496,5146,10112,99959,256,0.9942493839018437,0.9972682466363068,0.9993227444985152,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.9981989014071565,0.9999974400032511,0.0001
0,9,1e-08,2,"(8, 8)",col_based,64,64,1,False,True,False,1.0,1.0,0.00146,1,0.0001,17589.0,256,10112,10496,5239,10112,91282,256,0.994392807449962,0.9972682466363068,0.9993105091617522,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.9983551181748932,0.9999974400032511,0.0001
1,9,1e-08,2,"(8, 8)",col_based,64,64,1,False,True,False,1.0,1.0,0.00146,1,0.0001,17707.5,256,10112,10496,5195,10112,91818,256,0.9943889553428347,0.9972682466363068,0.9993162979045599,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.9983454675658785,0.9999974400032511,0.0001
2,9,1e-08,2,"(8, 8)",col_based,64,64,1,False,True,False,1.0,1.0,0.00146,1,0.0001,17544.0,256,10112,10496,5137,10112,90441,256,0.9944212432082328,0.9972682466363068,0.9993239285713135,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.9983702604565332,0.9999974400032511,0.0001
3,9,1e-08,2,"(8, 8)",col_based,64,64,1,False,True,False,1.0,1.0,0.00146,1,0.0001,17381.0,256,10112,10496,5189,10112,90343,256,0.9944161930038498,0.9972682466363068,0.9993170872811772,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.9983720249704044,0.9999974400032511,0.0001
4,9,1e-08,2,"(8, 8)",col_based,64,64,1,False,True,False,1.0,1.0,0.00146,1,0.0001,17843.5,256,10112,10496,5176,10112,92142,256,0.9943856322846202,0.9972682466363068,0.9993187975993205,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.998339634034026,0.9999974400032511,0.0001
5,9,1e-08,2,"(8, 8)",col_based,64,64,1,False,True,False,1.0,1.0,0.00146,1,0.0001,17827.5,256,10112,10496,5288,10112,92224,256,0.9943694995582577,0.9972682466363068,0.9993040626467267,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.9983381576517402,0.9999974400032511,0.0001
6,9,1e-08,2,"(8, 8)",col_based,64,64,1,False,True,False,1.0,1.0,0.00146,1,0.0001,17584.0,256,10112,10496,5189,10112,91079,256,0.9944029937281178,0.9972682466363068,0.9993170872811772,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.998358773187365,0.9999974400032511,0.0001
7,9,1e-08,2,"(8, 8)",col_based,64,64,1,False,True,False,1.0,1.0,0.00146,1,0.0001,17956.0,256,10112,10496,5148,10112,92526,256,0.9943824114574271,0.9972682466363068,0.9993224813714172,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.9983327202626368,0.9999974400032511,0.0001
8,9,1e-08,2,"(8, 8)",col_based,64,64,1,False,True,False,1.0,1.0,0.00146,1,0.0001,17712.0,256,10112,10496,5198,10112,91512,256,0.9943940502422918,0.9972682466363068,0.9993159032164851,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.9983509770439267,0.9999974400032511,0.0001
9,9,1e-08,2,"(8, 8)",col_based,64,64,1,False,True,False,1.0,1.0,0.00146,1,0.0001,17529.0,256,10112,10496,5146,10112,90438,256,0.9944201187464619,0.9972682466363068,0.9993227444985152,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.9983703144722177,0.9999974400032511,0.0001
0,9,1e-08,2,"(8, 8)",col_based,64,64,1,False,True,True,1.0,1.0,0.00146,1,0.0001,16273.0,256,10112,10496,5232,10112,82297,256,0.9945548695162755,0.9972682466363068,0.999311430095865,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.9985169057996255,0.9999974400032511,0.0001
1,9,1e-08,2,"(8, 8)",col_based,64,64,1,False,True,True,1.0,1.0,0.00146,1,0.0001,16121.0,256,10112,10496,5203,10112,81800,256,0.9945675811375428,0.9972682466363068,0.9993152454033735,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.9985258557523012,0.9999974400032511,0.0001
2,9,1e-08,2,"(8, 8)",col_based,64,64,1,False,True,True,1.0,1.0,0.00146,1,0.0001,16483.5,256,10112,10496,5169,10112,83587,256,0.9945399806071354,0.9972682466363068,0.9993197185410716,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.9984936759144926,0.9999974400032511,0.0001
3,9,1e-08,2,"(8, 8)",col_based,64,64,1,False,True,True,1.0,1.0,0.00146,1,0.0001,16164.5,256,10112,10496,5165,10112,81958,256,0.9945697227758671,0.9972682466363068,0.9993202447938819,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.9985230104870186,0.9999974400032511,0.0001
4,9,1e-08,2,"(8, 8)",col_based,64,64,1,False,True,True,1.0,1.0,0.00146,1,0.0001,16363.5,256,10112,10496,5165,10112,82801,256,0.9945546022641535,0.9972682466363068,0.9993202447938819,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.9985078298732009,0.9999974400032511,0.0001
5,9,1e-08,2,"(8, 8)",col_based,64,64,1,False,True,True,1.0,1.0,0.00146,1,0.0001,16383.5,256,10112,10496,5279,10112,83373,256,0.9945294162700896,0.9972682466363068,0.9993052466973892,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.9984975295169615,0.9999974400032511,0.0001
6,9,1e-08,2,"(8, 8)",col_based,64,64,1,False,True,True,1.0,1.0,0.00146,1,0.0001,16750.0,256,10112,10496,5222,10112,84486,256,0.9945169167788633,0.9972682466363068,0.9993127457174983,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.9984774873450988,0.9999974400032511,0.0001
7,9,1e-08,2,"(8, 8)",col_based,64,64,1,False,True,True,1.0,1.0,0.00146,1,0.0001,16433.0,256,10112,10496,5271,10112,82972,256,0.9945376560840793,0.9972682466363068,0.9993062991880448,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.998504750559764,0.9999974400032511,0.0001
8,9,1e-08,2,"(8, 8)",col_based,64,64,1,False,True,True,1.0,1.0,0.00146,1,0.0001,16683.0,256,10112,10496,5215,10112,84855,256,0.9945112150253922,0.9972682466363068,0.9993136666536723,0.9996214889206008,0.9998988851114413,0.9999307494508141,0.9996214889206008,0.998470842724626,0.9999974400032511,0.0001
