trial,code_distance,fidelity_target,factory_physical_size,qubit_layout,placement,n_qubits,n_factories,n_aods,trivial_return,decompose_move,redistribute_stage1_success,J,h,dt,n_trotter_steps,epsilon,total_depth,n_cnot,n_cnot_teleportation,n_h,n_s,n_t,n_se_q,n_rz_decomposition,fidelity_total,fidelity_of_rz_teleportaion,fidelity_of_rz_s,fidelity_of_rz_h,fidelity_of_t_gate,fidelity_cnot,fidelity_h,fidelity_idle,fidelity_synthesis,synthesis_epsilon
4,9,1e-08,2,"(8, 8)",col_based,64,64,3,False,True,True,1.0,1.0,0.00146,1,0.0001,14462.5,512,12736,13120,6495,12736,75925,320,0.9936085215676953,0.996560594234236,0.9991452810067576,0.9995268835389067,0.9998726481086639,0.9998615036972666,0.9995268835389067,0.9986316585557109,0.999996800005088,0.0001
0,9,1e-08,2,"(8, 8)",col_based,64,64,4,False,True,True,1.0,1.0,0.00146,1,0.0001,13621.5,512,12736,13120,6538,12736,72133,320,0.9936708488186803,0.996560594234236,0.9991396247940496,0.9995268835389067,0.9998726481086639,0.9998615036972666,0.9995268835389067,0.9986999545906131,0.999996800005088,0.0001
1,9,1e-08,2,"(8, 8)",col_based,64,64,4,False,True,True,1.0,1.0,0.00146,1,0.0001,13553.5,512,12736,13120,6525,12736,71719,320,0.9936799685906413,0.996560594234236,0.9991413348084681,0.9995268835389067,0.9998726481086639,0.9998615036972666,0.9995268835389067,0.9987074112443124,0.999996800005088,0.0001
2,9,1e-08,2,"(8, 8)",col_based,64,64,4,False,True,True,1.0,1.0,0.00146,1,0.0001,13483.5,512,12736,13120,6518,12736,71535,320,0.9936841817420976,0.996560594234236,0.9991422555866749,0.9995268835389067,0.9998726481086639,0.9998615036972666,0.9995268835389067,0.998710725330494,0.999996800005088,0.0001
3,9,1e-08,2,"(8, 8)",col_based,64,64,4,False,True,True,1.0,1.0,0.00146,1,0.0001,13491.0,512,12736,13120,6512,12736,71773,320,0.9936807015451823,0.996560594234236,0.9991430448258133,0.9995268835389067,0.9998726481086639,0.9998615036972666,0.9995268835389067,0.9987064386341509,0.999996800005088,0.0001
4,9,1e-08,2,"(8, 8)",col_based,64,64,4,False,True,True,1.0,1.0,0.00146,1,0.0001,13643.0,512,12736,13120,6495,12736,72236,320,0.9936746282544727,0.996560594234236,0.9991452810067576,0.9995268835389067,0.9998726481086639,0.9998615036972666,0.9995268835389067,0.9986980994414573,0.999996800005088,0.0001
0,9,1e-08,2,"(10, 10)",col_based,100,100,2,False,True,True,1.0,1.0,0.00146,1,0.0001,19327.0,800,19900,20500,10213,19900,156207,500,0.9893522207053458,0.9946311296177189,0.9986563342087256,0.9992608539031594,0.999801019797192,0.999783607956399,0.9992608539031594,0.9971868306043788,0.9999950000124499,0.0001
1,9,1e-08,2,"(10, 10)",col_based,100,100,2,False,True,True,1.0,1.0,0.00146,1,0.0001,19176.5,800,19900,20500,10043,19900,154776,500,0.9893998972577802,0.9946311296177189,0.9986786853502113,0.9992608539031594,0.999801019797192,0.999783607956399,0.9992608539031594,0.9972125658758453,0.9999950000124499,0.0001
2,9,1e-08,2,"(10, 10)",col_based,100,100,2,False,True,True,1.0,1.0,0.00146,1,0.0001,19746.0,800,19900,20500,10131,19900,159281,500,0.9893080541426348,0.9946311296177189,0.9986671152851078,0.9992608539031594,0.999801019797192,0.999783607956399,0.9992608539031594,0.9971315496743521,0.9999950000124499,0.0001
3,9,1e-08,2,"(10, 10)",col_based,100,100,2,False,True,True,1.0,1.0,0.00146,1,0.0001,19313.5,800,19900,20500,10072,19900,155535,500,0.9893825767716985,0.9946311296177189,0.9986748724730394,0.9992608539031594,0.999801019797192,0.999783607956399,0.9992608539031594,0.9971989158483078,0.9999950000124499,0.0001
4,9,1e-08,2,"(10, 10)",col_based,100,100,2,False,True,True,1.0,1.0,0.00146,1,0.0001,19301.0,800,19900,20500,10115,19900,155676,500,0.9893744599611124,0.9946311296177189,0.9986692189233382,0.9992608539031594,0.999801019797192,0.999783607956399,0.9992608539031594,0.9971963800930203,0.9999950000124499,0.0001
0,9,1e-08,2,"(10, 10)",col_based,100,100,3,False,True,True,1.0,1.0,0.00146,1,0.0001,16499.5,800,19900,20500,10213,19900,133404,500,0.9897591689740647,0.9946311296177189,0.9986563342087256,0.9992608539031594,0.999801019797192,0.999783607956399,0.9992608539031594,0.9975970014675062,0.9999950000124499,0.0001
