trial,code_distance,qubit_layout,n_trotter_steps,placement,n_aods,consider_skip_rus,trivial_return,decompose_move,parallel_execution,prepare_lookahead_angles,logical_se_interval,total_depth,fidelity,fidelity_of_rz_layer,fidelity_of_rz_injection,fidelity_of_rz_teleportaion,fidelity_of_rz_s,fidelity_cnot,fidelity_1q,fidelity_idle,n_cnot,n_cnot_teleportation,n_h,n_s,n_se_q,n_rz_seen
4,7,"(4, 4)",1,col_based,1,2,False,False,True,True,10,198.5,0.9992947554146323,0.9995526070199457,0.9998735153911973,0.999679051033644,1.0,0.9998080181428767,0.9999744003225566,0.9999596008120281,64,107,64,0,202,16
5,7,"(4, 4)",1,col_based,1,2,False,False,True,True,10,233.0,0.999327059883,0.9995923167804664,0.9999732345847675,0.9996190720000029,1.0,0.9998080181428767,0.9999744003225566,0.9999522011376206,64,127,64,0,239,17
6,7,"(4, 4)",1,col_based,1,2,False,False,True,True,10,244.0,0.9992774475231876,0.999544890248331,0.9999587881246863,0.9995860850654341,1.0,0.9998080181428767,0.9999744003225566,0.999950001244978,64,138,64,0,250,18
7,7,"(4, 4)",1,col_based,1,2,False,False,True,True,10,254.0,0.9992564595517781,0.9995270951416896,0.9999289864115034,0.9995980801884181,1.0,0.9998080181428767,0.9999744003225566,0.9999468014097737,64,134,64,0,266,18
8,7,"(4, 4)",1,col_based,1,2,False,False,True,True,10,244.5,0.9990340797984759,0.9993030562734001,0.999662870676084,0.9996400642524209,1.0,0.9998080181428767,0.9999744003225566,0.9999484013260959,64,120,64,0,258,17
9,7,"(4, 4)",1,col_based,1,2,False,False,True,True,10,248.5,0.9990257096047708,0.9992990807328549,0.999652895759719,0.9996460621197968,1.0,0.9998080181428767,0.9999744003225566,0.9999440015623694,64,118,64,0,280,19
0,7,"(4, 4)",1,col_based,1,2,False,True,False,False,10,268.0,0.9992537192586606,0.9995303512711153,0.9999262442656947,0.9996040778038884,1.0,0.9998080181428767,0.9999744003225566,0.999940801746364,64,132,64,0,296,27
1,7,"(4, 4)",1,col_based,1,2,False,True,False,False,10,232.0,0.999348598683075,0.9996164602973822,0.9999763875459949,0.9996400642524209,1.0,0.9998080181428767,0.9999744003225566,0.9999496012650174,64,120,64,0,252,25
2,7,"(4, 4)",1,col_based,1,2,False,True,False,False,10,222.0,0.9993844254624953,0.9996436997060324,0.9999736370585078,0.9996700539491761,1.0,0.9998080181428767,0.9999744003225566,0.9999582008694268,64,110,64,0,209,23
3,7,"(4, 4)",1,col_based,1,2,False,True,False,False,10,239.0,0.999273251147527,0.9995358949652785,0.9998987929014856,0.9996370653322282,1.0,0.9998080181428767,0.9999744003225566,0.9999548010169835,64,121,64,0,226,26
4,7,"(4, 4)",1,col_based,1,2,False,True,False,False,10,227.0,0.999356108862576,0.9996161754525263,0.9999701027509607,0.9996460621197968,1.0,0.9998080181428767,0.9999744003225566,0.999957400903106,64,118,64,0,213,24
5,7,"(4, 4)",1,col_based,1,2,False,True,False,False,10,242.0,0.9993021480826179,0.9995693975046035,0.9999353074103804,0.9996340664210323,1.0,0.9998080181428767,0.9999744003225566,0.9999502012350182,64,122,64,0,249,26
6,7,"(4, 4)",1,col_based,1,2,False,True,False,False,10,303.5,0.9992123155208557,0.9995001304110491,0.999881013085599,0.9996190720000029,1.0,0.9998080181428767,0.9999744003225566,0.9999296024709803,64,127,64,0,352,33
7,7,"(4, 4)",1,col_based,1,2,False,True,False,False,10,284.0,0.998978399018979,0.9992601509519556,0.9996334049000563,0.9996280686256305,0.99999854,0.9998080181428767,0.9999744003225566,0.999935602067194,64,124,64,1,322,31
8,7,"(4, 4)",1,col_based,1,2,False,True,False,False,10,292.0,0.999314935027484,0.9995991809124937,0.9999531021937867,0.9996460621197968,1.0,0.9998080181428767,0.9999744003225566,0.9999332022243889,64,118,64,0,334,31
